trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
345,False,"{'a': 0.05, 'e': 0.031514247506815876}",25,15,21.488562061320245,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
346,False,"{'a': 0.05, 'e': 0.031199105031747717}",30,17,23.668860354314397,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
347,False,"{'a': 0.05, 'e': 0.03088711398143024}",35,10,50.48046136869284,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",1
348,False,"{'a': 0.05, 'e': 0.030578242841615935}",20,8,10.576161316006486,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
349,False,"{'a': 0.05, 'e': 0.030272460413199778}",25,11,27.87161358189175,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
350,False,"{'a': 0.05, 'e': 0.02996973580906778}",25,11,23.434250357414307,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
351,False,"{'a': 0.05, 'e': 0.029670038450977102}",20,2,28.504014859237877,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
352,False,"{'a': 0.05, 'e': 0.02937333806646733}",25,8,28.98192598656129,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
353,False,"{'a': 0.05, 'e': 0.029079604685802656}",25,16,13.839130636962118,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
354,False,"{'a': 0.05, 'e': 0.02878880863894463}",30,19,15.26706276503498,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
355,False,"{'a': 0.05, 'e': 0.02850092055255518}",25,14,19.257374401836778,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
356,False,"{'a': 0.05, 'e': 0.02821591134702963}",20,2,29.698093034308496,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
357,False,"{'a': 0.05, 'e': 0.027933752233559334}",30,13,26.755523039762423,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 0}",1
358,False,"{'a': 0.05, 'e': 0.027654414711223742}",20,5,9.547270126543241,"{0: 13, 1: 1, 2: 1, 3: 0, 4: 0}",1
359,False,"{'a': 0.05, 'e': 0.027377870564111503}",20,14,11.039935672161736,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
360,False,"{'a': 0.05, 'e': 0.02710409185847039}",20,9,18.916798162171133,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
361,False,"{'a': 0.05, 'e': 0.026833050939885684}",25,15,17.333540472886632,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
362,False,"{'a': 0.05, 'e': 0.026564720430486827}",30,17,29.49738657959984,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
363,False,"{'a': 0.05, 'e': 0.026299073226181958}",20,7,-2.310912417532231,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 0}",1
364,False,"{'a': 0.05, 'e': 0.026036082493920136}",20,14,10.622882210730655,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
